Flow,UUID,Unit,Amount,Direction
"printed wiring board production, for through-hole mounting, Pb free surface",cf11031f-462b-48ce-857b-f36ed83e0095,m2,0.017,Input
"electronic component, passive, unspecified",4e252b55-fb08-4447-8391-d09e8bbb0238,kg,0.00016,Input
"electric connector production, peripheral type buss",9cc41404-5a63-4005-82a2-884dc147fc3f,kg,0.005949,Input
"transformer production, low voltage use",0c7faf73-f5ea-4a3b-96ec-54d025cae6f4,kg,0.0827,Input
"resistor, metal film type, through-hole mounting",92d9032c-7554-43a7-87b7-59ced4c2516a,kg,0.00497724,Input
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972,m2,0.017,Input
"capacitor production, film type, for through-hole mounting",1edf4d42-6315-49ab-89b8-cd8dd643f43c,kg,0.146907,Input
"capacitor production, electrolyte type, > 2cm height",5f06394c-4efd-4c65-9e82-5fd3cbebbd15,kg,0.5615588,Input
"electric connector production, wire clamp",6716b460-7ba0-4cea-baa4-32ae24bfb88c,kg,0.00137,Input
filter_card,,kg,0.85598204,Output
