Flow,UUID,flow/process,Unit,Amount,Direction
"printed wiring board production, for through-hole mounting, Pb free surface",dcda613c-0c0d-3cea-a518-a4847d197cdb,unit process,m2,0.017,Input
"electronic component, passive, unspecified",f3d352d4-6c0c-3a0d-819a-cdac67904aae,unit process,kg,0.000570018708,Input
"electronic component production, active, unspecified",aab92320-5f7c-3d87-aafa-7dcd00f7295b,unit process,kg,0.000427,Input
"electric connector production, wire clamp",dd86962a-dd7e-316b-9ae3-bb22cf1fcbc2,unit process,kg,0.0065,Input
"electric connector production, peripheral type buss",92091161-fb50-3a3f-8f3d-a35a0a2e0fb0,unit process,kg,0.003966,Input
"resistor production, surface-mounted",4ec1457b-7716-3a2b-b019-a95236792b9a,unit process,kg,0.003316848,Input
"resistor production, wirewound, through-hole mounting",e0d7a365-f222-3c31-992f-d9223bb691a0,unit process,kg,0.005948,Input
"transformer production, low voltage use",33903d25-0ea9-3fde-96d4-f3e0c10deb33,unit process,kg,0.03398,Input
"mounting, surface mount technology, Pb-free solder",ca2b5076-f230-473d-9272-da1a678b4f93,flow,m2,0.017,Input
"mounting, through-hole technology, Pb-free solder",66084f92-4bed-46cb-931e-7ea8300c0972,flow,m2,0.017,Input
"capacitor production, for surface-mounting",58bb18d4-4cd4-30e4-a30e-3d49987423f9,unit process,kg,0.000509184,Input
"diode production, glass-, for surface-mounting",0be8d851-ba22-3358-9978-1e98418488c6,unit process,kg,0.000483368656,Input
"transistor production, wired, big size, through-hole mounting",dc537ffb-6da8-3c92-b6e9-9ba0d7a74803,unit process,kg,0.03252,Input
light emitting diode production,068100d0-b364-33c5-9c23-4a2ad382e3b3,unit process,kg,0.00035,Input
"transistor production, surface-mounted",fe412dc1-c484-36e1-9799-648be3ecec7c,unit process,kg,0.0006735025,Input
"market for copper, cathode",40dc9f2f-40c2-37b4-8f38-53d043a5f756,unit process,kg,0.03,pre-input
"metal working, average for copper product manufacturing",d81d83ea-b26b-383a-ab8d-29cca83903fb,unit process,kg,0.03,pre-process
