Casing,Section,Subsection,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Ecoinvent_flow,Ecoinvent_unit,Direction,Database
1206,Passives,Resistors,kg,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,0,"resistor production, surface-mounted",kg,Input,EcoInvent
1206,Passives,Resistors,kg,1.2856e-05,NO,3.2,1.6,0.55,,3,4,0.003,,"resistor production, surface-mounted",kg,Input,EcoInvent
1206,Passives,Capacitors,kg,5.6576e-05,NO,3.2,1.6,1.7,,6,7,0,,"capacitor production, for surface-mounting",kg,Input,EcoInvent
D2PAK,IC,Analog,kg,0.001566914694,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,"integrated circuit production, logic type",kg,Input,EcoInvent
DIP6 SMD,Module,Hybrid relays,kg,0.000427,YES,,,,,,,,,"electronic component production, active, unspecified",kg,Input,EcoInvent
DO-214AA,Discrete Semiconductors,Small signal,kg,0.000102937052,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent
DO-214AC,Discrete Semiconductors,Small signal,kg,0.00012,YES,,,,,,,,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent
DO-35,Discrete Semiconductors,Small signal,kg,0.000125,YES,,,,,,,,,"diode production, glass-, for through-hole mounting",kg,Input,EcoInvent
DPAK,Discrete Semiconductors,Power,kg,0.000332645,NO,6.6,6.2,2.3,,1.2,1.3,0.215,,"transistor production, surface-mounted",kg,Input,EcoInvent
E,Passives,Capacitors,kg,0.0007078445,NO,7.3,4.3,4.1,,5,6,0,,"capacitor production, electrolyte type, < 2cm height",kg,Input,EcoInvent
SOD-80C,Discrete Semiconductors,Small signal,kg,1.874e-05,NO,,,,0.00744,2.2,2.3,0.002,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent
SOIC16,IC,Digital,kg,0.0001853125,NO,10,3.9,1.75,,1.2,1.3,0.1,,"integrated circuit production, logic type",kg,Input,EcoInvent
SOIC8,IC,Analog,kg,4.0131e-05,NO,4.9,3.9,1.75,,1.2,1.2,,,"integrated circuit production, logic type",kg,Input,EcoInvent
SOT23-3,Discrete Semiconductors,Small signal,kg,8.2125e-06,NO,2.9,1.3,1,,1.2,1.3,0.0035,,"diode production, glass-, for surface-mounting",kg,Input,EcoInvent
TO-220,IC,Analog,kg,0.002321785875,NO,10.67,4.7,16.3,,1.2,1.3,1.3,,"integrated circuit production, logic type",kg,Input,EcoInvent
TO-220-2-V,Discrete Semiconductors,Power,kg,0.0019,YES,,,,,,,,,"transistor production, wired, small size, through-hole mounting",kg,Input,EcoInvent
TO-247,Discrete Semiconductors,Power,kg,0.00542,YES,,,,,,,,,"insulated gate bipolar transistor production, for electric vehicle applications",kg,Input,EcoInvent
TO-247-2,Discrete Semiconductors,Power,kg,0.00542,YES,,,,,,,,,"transistor production, wired, big size, through-hole mounting",kg,Input,EcoInvent
TO-92,IC,Analog,kg,0.000214,YES,,,,,,,,,"integrated circuit production, logic type",kg,Input,EcoInvent
