Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Database_component_title,Comments
PCB,,PCB,,,Panel of 2,EDA-04976-V1,,1,m2,,YES,170,100,,,,,,,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,,"Technological similarity: A power supply unit PCB is more representative of an inverter power card (2‑4 layers, power components) than a desktop mainboard (high‑density, many layers). Pb‑free consistency: The Pb‑free version aligns with the Pb‑free solder used elsewhere in the BOM (e.g., mounting process), avoiding methodological inconsistency and reflecting modern RoHS‑compliant practices."
PCB Terminal Test Pins,,Passives,Test PIN,,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),7,kg,8e-05,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,,Chossen passive generic because it includes thins kind of components and there is not another alternative.
"C1, C3",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_100PF_50V_5%_NP0,,2,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are."
"C2, C6, C7",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_1NF_50V_10%_X7R,,3,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are."
"C4, C5",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_100NF_50V_10%_X7R,,2,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are."
"C8, C9",1206,Passives,Capacitors,MLCC,GENERIC,CC1206_10NF_50V_10%_X7R,,2,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input,0.055-0.06,"SMD type capacitors"" and ""termination (SMT)  exactly what MLCCs are."
"D1, D3, D12",SOT23-3,Discrete Semiconductors,Small signal,Dual,NXP SEMICONDUCTORS,BAV199,75V 250mW Low-Leakage Double Diode,3,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.008-0.012,
"D2, D4-D6, D9, D10, D13, D14",SOD-80C,Discrete Semiconductors,Small signal,Zener,NEXPERIA,BZV55-B10,10V 500mW Voltage Regulator Diode,8,kg,,NO,,,,0.00744,2.2,2.3,0.002,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.017,
D7,DO-214AA,Discrete Semiconductors,Small signal,TVS,onsemi (Fairchild),SMBJ24A,24V 600W Uni-Directional Transient Voltage Suppressor Diode,1,kg,,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.08-0.1,"""it is SMD"","
"D8, D11",DO-214AA,Discrete Semiconductors,Small signal,TVS,LITTELFUSE,SMBJ48CA,48V 600W Bi-Directional Transient Voltage Suppressor Diode,2,kg,,NO,4.57,3.94,2.4,,1.2,1.25,0.05,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input,0.08-0.1,
D15-D20,TO-247-2,Discrete Semiconductors,Power,Rectifier diode,VISHAY,VS-45EPS16L-M3,"1.16V 45A 1600VR @ 1mA, High Voltage Input Rectifier Diod",6,kg,0.00542,YES,,,,,,,,,EcoInvent,"transistor production, wired, big size, through-hole mounting",kg,Input,,Selected a transistor because the characteristics (materials and size) are more similar
F1,,Passives,Protection,,Littelfuse,microSMD005F,PolySwitch® Resettable PPTC Overcurrent Protection Device,1,kg,,NO,3.21,2.57,0.72,,1.2,1.5,0.002,,EcoInvent,"electronic component, passive, unspecified",kg,Input,,
IC1,DIP6 SMD,Modules,Hybrid Relays,,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",1,kg,0.000427,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,0.1-0.12,"The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. No specific ecoinvent dataset exists. The generic active dataset averages diodes, transistors, and ICs, which reasonably captures the mix of technologies present in the component"
J1,,Electromechanical,Connectors,,TYCO ELECTRONICS,640900-1,5 Circuits In-Line - Universal MATE-N-LOK Connector,1,kg,0.00319,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,,Mass info: https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/
"J2,J4",,Electromechanical,Connectors,,TE Connectivity,350789-1,3 Circuits In-Line - Universal MATE-N-LOK Connector,2,kg,0.001983,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,,Good proxy for a general‑purpose industrial connector; not exact but covers similar materials and function For the mass: https://www.tme.com/in/en/details/350789-1/raster-signal-connectors-6-35mm/te-connectivity/
J3,,Electromechanical,Connectors,,OSRAM,N2514-6003RB,14 Contacts Straight .100'' x .100'' Low Profile Four-Wall Header (Solder Tail 3.94mm) 2500 Series,1,kg,0.00331,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,,mass data: https://www.tme.com/ux/en-us/details/n2514-6003-rb/idc-connectors/3m/7100243253/
LD1,,Discrete Semiconductors,Optoelectronics,LED,OSRAM,LY T676-R1S2-26,Hyper TOPLED® SMD Yellow LED,1,kg,0.035,YES,,,,,,,,,EcoInvent,light emitting diode production,kg,Input,,"Only LED‑specific option in your list. However, important limitations from the description: Represents a 5mm through‑hole LED. Default weight assumption: 0.35 g per LED (much larger than your 0.059 g SMD)"
"R1-R6,R15-R19,R36-R46",1206,Passives,Resistors,,GENERIC,R1206_270K_0.1%_0.25W_25PPM,±0.1% 0.25W ±25ppm/°C Thin Film Chip Resistor,22,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,
"R7-R14, R20-R35,R47 > R62, R65 > R72,R76 > R83, R87 > R102, R106 > R121, R123 > R130, R135 > R142, R159 > R166, R179 > R186, R199 > R206, R223 > R230, R245 > R252",1206,Passives,Resistors,,GENERIC,R1206_4K3_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,144,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,
"R63,R75",1206,Passives,Resistors,,GENERIC,R1206_30K_0.1%_0.25W_25PPM,±0.1% 0.25W ±25ppm/°C Thin Film Chip Resisto,2,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,
"R64, R74, R85, R86, R103,R221, R222",1206,Passives,Resistors,,Generic,R1206_1K_1%_0.25W_100PPM,"1 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",7,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,0.105,
"R73, R213, R214,R237, R238",1206,Passives,Resistors,,GENERIC,R1206_100K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,5,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,
"R84, R122, R131 > R134, R149, R150, R157, R158",1206,Passives,Resistors,,Generic,R1206_10K_1%_0.25W_100PPM,"10 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",10,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,0.105,
R104,1206,Passives,Resistors,,Generic,R1206_2K_1%_0.25W_100PPM,"2 kΩ, 1%, 0.25W, 100 ppm/°C, 1206",1,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,0.105,
R105,1206,Passives,Resistors,,Generic,R1206_100R_1%_0.25W_100PPM,"100 Ω, 1%, 0.25W, 100 ppm/°C, 1206",1,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,0.105,
"R143 > R148, R151 > R156,R167 > R178, R187 > R198,R207 > R212, R215 > R220, R231 > R236, R239 > R244, R253 > R258",1206,Passives,Resistors,,GENERIC,R1206_33K_1%_0.25W_100PPM,±1% 0.25W ±100ppm/°C General Purpose Thick Film Chip Resistor,66,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,,
RV1,,Passives,Resistors,,EPCOS / TDK,B72220S0511K101 or S20K510,±10% 510VAC 1W SIOV Metal Oxide Varistor,1,kg,0.005948,YES,,,,,,,,,EcoInvent,"resistor production, wirewound, through-hole mounting",kg,Input,,Mass data: https://www.tme.eu/en/details/b72220s0511k101/varistors-epcos-tdk/
T1,SOT23-3,Discrete Semiconductors,Small signal,Bipolar Transistor,onsemi,MMBT3906LT1G,40V 200mA PNP General Purpose Transistor,1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"transistor production, surface-mounted",kg,Input,,Specific for surface‑mounted transistors; matches SOT‑23 package.
"T2,T5",DPAK,Discrete Semiconductors,Small signal,MOSFET,ST MICROELECTRONICS,STD10NF10T4,100V 13A N-Channel STripFET® II Power MOSFET,2,kg,,NO,6.6,6.2,2.3,,,1.2,0.215,,EcoInvent,"transistor production, surface-mounted",kg,Input,,Specific for surface‑mounted transistors.
"RL4, RL5",,Electromechanicsd,Relays,,OMRON ELECTRONIC,G2RL-24-DC24,"8A@250VAC, DPDT Power Relay, G2RL Series",2,kg,0.035,YES,,,,,,,,,EcoInvent,"transformer production, low voltage use",kg,Input,,
HS1-HS6,,Hardware,Thermal Management,Heatsink,FISCHER ELEKTRONIK,FK 245 MI 247 O,"TO-247 Heat Sink Rth: 20.2°C/W, Vertical Mount",6,kg,0.005,YES,,,,,,,,,EcoInvent,"market for copper, cathode + metal working, average for copper product manufacturing",kg,Input,,"MASS FROM DATABASE, Aproximated as hardware"
SMD_PROCESS,,Assembly Processes,SMD,,,,Assambly SMD components in the PCB,1,m2,,YES,170,100,,,,,,,EcoInvent,"mounting, surface mount technology, Pb-free solder",m2,Input,,
THT_PROCESS,,Assembly Processes,THT,,,,Assambly THT components in the PCB,1,m2,,YES,170,100,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,,
