Order_index,Category_order,Group_order,Category,Section,Subsection,Designators,Part_Number,Database,Database_component_title,Ecoinvent_flow,Ecoinvent_unit,Direction,Amount,Mass_per_element_g,Total_mass_g,Total_mass_kg,Formula_basis,Validation_error
2,1,2,AUTO,Passives,Capacitors (mounted),C1-C3,MKX2AW41006D00MSSD,EcoInvent,,"capacitor production, film type, for through-hole mounting",kg,Input,0.0398034,13.2678,39.8034,0.0398034,mass-based,
3,1,2,AUTO,Passives,Capacitors (mounted),C4,MKY22W14703F00MSSD,EcoInvent,,"capacitor production, film type, for through-hole mounting",kg,Input,0.00096525,0.96525,0.96525,0.00096525,mass-based,
4,1,3,AUTO,Passives,Capacitors (unmounted),C1b-C3b,MKX2AW41005I00MSSD,EcoInvent,,"capacitor production, film type, for through-hole mounting",kg,Input,,,,,,"Unit is 'kg' but mass data is missing — fill Quantity_per_element (kg, with Has_datasheet_info=YES) or geometry + density"
5,1,3,AUTO,Passives,Capacitors (unmounted),C4b,MKY22W21004B00MSSD,EcoInvent,,"capacitor production, film type, for through-hole mounting",kg,Input,0.0013365,1.3365,1.3365,0.0013365,mass-based,
6,1,4,AUTO,Control and signal management,Protection,F1-F3,W1014572,EcoInvent,0.008-0.01,"electronic component, passive, unspecified",kg,Input,0.024,8.0,24.0,0.024,mass-based,
7,1,4,AUTO,Control and signal management,Protection,FH1-FH3,3576,EcoInvent,,"electric connector production, peripheral type buss",kg,Input,0.0343014,11.4338,34.3014,0.0343014,mass-based,
8,1,4,AUTO,Control and signal management,Protection,FHC1-FHC3,3576C,EcoInvent,,"electronic component, passive, unspecified",kg,Input,0.01077,3.59,10.77,0.01077,mass-based,
9,1,5,AUTO,Passives,Connectors,J1,640900-1,EcoInvent,,"electric connector production, wire clamp",kg,Input,0.00319,3.19,3.19,0.00319,mass-based,
10,1,5,AUTO,Passives,Connectors,J2,350786-1,EcoInvent,,"electric connector production, wire clamp",kg,Input,0.00137,1.37,1.37,0.00137,mass-based,
11,1,5,AUTO,Passives,Connectors,J3,EDA-02872-V1-3,EcoInvent,,"electric connector production, peripheral type buss",kg,Input,0.0526,52.6,52.6,0.0526,mass-based,
12,1,6,AUTO,Passives,Resistors,R1-R9,RMF_68K_1%_0.6W_50PPM_1016-630X250,EcoInvent,,"resistor production, surface-mounted",kg,Input,0.00098775,0.10975,0.98775,0.00098775,mass-based,
13,1,7,AUTO,Assambly,,THT_PROCESS,,EcoInvent,,"mounting, through-hole technology, Pb-free solder",m2,Input,0.01,,,,area-based,
