Designators,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Direction,Ecoinvent_amount_override,Database_component_title,Comments,Notes,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
PCB,PCB,,m2,m2,0.01,"printed wiring board production, for power supply unit, desktop computer, Pb free",AUTO,Panel of 2 PCBs,,,1,0.01,YES,100,100,,,,,,,EcoInvent,Input,,,Base PCB from EcoInvent,,1,1,1,AREA_LW_MM_TO_M2,,,,,
C1-C3,Passives,Capacitors (mounted),kg,kg,0.0398034,"capacitor production, film type, for through-hole mounting",AUTO,WIMA,MKX2AW41006D00MSSD,±20% 305VAC Metallized Polypropylene RFI Capacitor Class X2 (MKP-X2),3,0.0132678,NO,31.5,13,24,,1.3,1.4,0,,EcoInvent,Input,,,,,2,1,2,CALCULATED,9.828,13.2678,1.35,MIN_MAX_AVG,
C4,Passives,Capacitors (mounted),kg,kg,0.00096525,"capacitor production, film type, for through-hole mounting",AUTO,WIMA,MKY22W14703F00MSSD,±20% 300VAC Metallized Polypropylene RFI Capacitor Class Y2 (MKP-Y2),1,0.00096525,NO,13,5,11,,1.3,1.4,0,,EcoInvent,Input,,,,,3,1,2,CALCULATED,0.715,0.96525,1.35,MIN_MAX_AVG,
C1b-C3b,Passives,Capacitors (unmounted),kg,kg,0.024792075,"capacitor production, film type, for through-hole mounting",AUTO,WIMA,MKX2AW41005I00MSSD,±20% 305VAC Metallized Polypropylene RFI Capacitor Class X2 (MKP-X2),3,0.008264025,NO,26.5,11,21,,1.3,1.4,0,0,EcoInvent,Input,,,,,4,1,3,CALCULATED,6.1215,8.264025,1.35,MIN_MAX_AVG,
C4b,Passives,Capacitors (unmounted),kg,kg,0.0013365,"capacitor production, film type, for through-hole mounting",AUTO,WIMA,MKY22W21004B00MSSD,"10 nF, ±20%, 300VAC, Class Y2, MKP-Y2",1,0.0013365,NO,18,5,11,,1.3,1.4,0,0,EcoInvent,Input,,,,,5,1,3,CALCULATED,0.99,1.3365,1.35,MIN_MAX_AVG,
F1-F3,Control and signal management,Protection,kg,kg,0.024,"electronic component, passive, unspecified",AUTO,MERSEN,W1014572,"Protistor® Cylindrical Fuse-Links, Size 10x38 gR 690VAC",3,0.008,YES,,,,,,,,,EcoInvent,Input,,0.008-0.01,"It is a big estimation, the other alternative is more described but it doe not have the same technology.",,6,1,4,DATASHEET_QTY_KG,,8.0,,MISSING,
FH1-FH3,Control and signal management,Protection,kg,kg,0.0343014,"electric connector production, peripheral type buss",AUTO,KEYSTONE,3576,Fuse Holder for 10.3x38mm (5AG) Fuses,3,0.0114338,NO,,,,9.88,1.12,1.15,0.22,0,EcoInvent,Input,,,"It is consider as a connector, mass info: https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/",,7,1,4,CALCULATED,9.88,11.4338,1.135,MIN_MAX_AVG,
FHC1-FHC3,Control and signal management,Protection,kg,kg,0.01077,"electronic component, passive, unspecified",AUTO,KEYSTONE,3576C,Cover for Fuse Holder KEYSTONE 3576,3,0.00359,YES,,,,,,,,,EcoInvent,Input,,,"No more accurate component, it is considered generic",,8,1,4,DATASHEET_QTY_KG,,3.59,,MISSING,
J1,Passives,Connectors,kg,kg,0.00319,"electric connector production, wire clamp",AUTO,TYCO ELECTRONICS,640900-1,5 Circuits In-Line - Universal MATE-N-LOK Connector,1,0.00319,YES,,,,,,,,,EcoInvent,Input,,,Mass info: https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/,,9,1,5,DATASHEET_QTY_KG,,3.19,,MISSING,
J2,Passives,Connectors,kg,kg,0.00137,"electric connector production, wire clamp",AUTO,TYCO ELECTRONICS,350786-1,2 Circuits In-Line - Universal MATE-N-LOK Connector,1,0.00137,YES,,,,,,,,,EcoInvent,Input,,,Mass info: https://www.tme.com/in/en/details/350786-1/raster-signal-connectors-6-35mm/te-connectivity/,,10,1,5,DATASHEET_QTY_KG,,1.37,,MISSING,
J3,Passives,Connectors,kg,kg,0.0526,"electric connector production, peripheral type buss",AUTO,CERN,EDA-02872-V1-3,"2 Circuits In-Line - Universal MATE-N-LOK with Central Wire Pin, 7 Poles, VDE  Metalok Bantam Circular Male Connector, Mounted On 15mm M3 Spacer",1,0.0526,YES,,,,,,,,,EcoInvent,Input,,,"Although the dataset represents ICT connectors (e.g., USB ports), its material composition is comparable TO j3. Explanation as a special component the mass calculation",,11,1,5,DATASHEET_QTY_KG,,52.6,,MISSING,
R1-R9,Passives,Resistors,kg,kg,0.00098775,"resistor production, surface-mounted",AUTO,Generic,RMF_68K_1%_0.6W_50PPM_1016-630X250,±1% 0.6W ±50ppm/°C Leaded Metal Film Resistor,9,0.00010975,NO,,,,0.0285,3,4,0.01,0,EcoInvent,Input,,,The dataset explicitly represents THT.,,12,1,6,CALCULATED,0.0285,0.10975,3.5,MIN_MAX_AVG,
THT_PROCESS,Assambly,,m2,m2,0.01,"mounting, through-hole technology, Pb-free solder",AUTO,,,Assambly THT components in the PCB,1,0.01,YES,100,100,,,,,,,EcoInvent,Input,,,It is all THT,,13,1,7,AREA_LW_MM_TO_M2,,,,,
